CID SURVEY RA DEC z
ASASSN-16fs 150 221.777 11.5949 0.0299
LSQ12gdj 56 358.681 -25.6761 0.02886
2000cw 57 356.855 28.3877 0.02896
2002de 57 244.127 35.7084 0.0305
ASASSN-16aj 150 65.4509 -15.7554 0.03053
ASASSN-16br 150 236.376 -13.1528 0.029
AT2017zd 150 203.176 -21.8011 0.03048
ASASSN-16hh 18 31.1559 21.5861 0.02935
ATLAS17ajn 150 176.111 -28.4574 0.02988
Gaia16bba 150 15.398 17.1013 0.02934
1997dg 62 355.059 26.2033 0.02962
2004ef 57 340.542 19.9946 0.02978
2004ef 5 340.542 19.9946 0.02978
2004ef 64 340.542 19.9946 0.02978
ASASSN-15nq 150 259.33 33.4621 0.03025
AT2017lm 150 45.3849 -15.016 0.03002
ASASSN-16fo 150 203.149 -5.2725 0.02994
ASASSN-16es 18 177.727 2.3069 0.02973
AT2016cyt 150 317.399 15.1255 0.02965
2013fy 56 324.363 -47.0319 0.03099
ASASSN-15uw 150 38.893 -6.0629 0.03004
ASASSN-16hr 150 336.382 38.9844 0.0298
PS15cwx 150 78.6992 7.0504 0.03007
1990O 50 258.901 16.322 0.03093
2001ba 50 174.507 -32.3308 0.03136
2009eu 51 247.171 39.5535 0.03072
2009fv 51 247.434 40.8116 0.03072
2009fv 65 247.434 40.8116 0.03072
SNF20080909-030 57 330.454 13.0553 0.03013
2008gg 51 21.346 -18.1724 0.03107
2008gg 5 21.346 -18.1724 0.03107
1999cc 62 240.675 37.3596 0.03132
AT2017wb 150 165.331 70.6649 0.03093
MASTEROTJ08 150 128.237 -3.8579 0.03156
2007bd 51 127.889 -1.1994 0.03141
2007bd 5 127.889 -1.1994 0.03141
2007bd 64 127.889 -1.1994 0.03141
2006bt 57 239.127 20.046 0.03241
2006bt 5 239.127 20.046 0.03241
2006bt 64 239.127 20.046 0.03241
2006bw 64 218.486 3.7988 0.03075
ASASSN-15hg 150 148.452 9.1939 0.03107
ATLAS17axb 150 205.847 -19.9437 0.03264
2010gn 56 259.458 40.8811 0.03123
CSS160428 150 200.78 52.6491 0.03081
2000dn 57 346.274 -3.2003 0.03081
2006en 57 347.521 30.2233 0.03081
2006en 64 347.521 30.2233 0.03081
2008bq 5 100.26 -38.0386 0.03279
ASASSN-16oz 150 135.056 -13.634 0.03207
2006az 64 183.061 56.1794 0.03158
010026 15 160.674 58.8438 0.03174
AT2017po 150 240.965 39.9901 0.03201
2007ai 5 243.224 -21.6302 0.03212
2007ai 64 243.224 -21.6302 0.03212
2007ux 5 152.333 14.9924 0.03183
2007ux 65 152.333 14.9924 0.03183
ASASSN-15pr 150 346.664 -12.5728 0.03189
2008gl 65 20.2284 4.8053 0.03246
2008gl 51 20.2284 4.8053 0.03246
2008gl 5 20.2284 4.8053 0.03246
SN2016hpx 150 90.8194 -26.8986 0.0337
SN2017cii 150 248.333 23.7313 0.03337
2006te 64 122.929 41.5547 0.03212
2006os 5 43.7542 16.0097 0.03212
2004as 57 171.413 22.8304 0.0325
2004as 63 171.413 22.8304 0.0325
ASASSN-16bc 150 181.357 -21.4004 0.03314
2008gp 5 50.753 1.3619 0.03245
2008gp 51 50.753 1.3619 0.03245
2010ag 66 255.973 31.5017 0.03336
2005iq 64 359.635 -18.7092 0.03292
2005iq 5 359.635 -18.7092 0.03292
PS15bsq 150 355.467 -8.6379 0.03309
2004L 63 156.767 16.0187 0.03344
2003gn 57 338.465 20.8024 0.03316
2003cq 63 179.059 60.522 0.03323
2006S 64 191.413 35.0868 0.0331
2011dl 51 244.521 21.5511 0.03432
2006gr 57 338.095 30.8287 0.03352
2006gr 64 338.095 30.8287 0.03352
ASASSN-16dw 150 202.503 -27.9739 0.03565
2007ba 5 229.178 7.3966 0.03533
ATLAS17ajs 150 171.977 27.3458 0.0337
1996bl 61 9.0749 11.3946 0.03481
2003kc 63 146.643 30.6553 0.0341
2003iv 63 42.5302 12.8462 0.03351
ASASSN-15jl 150 230.671 50.9766 0.03492
1992bg 50 115.486 -62.5194 0.03574
2005eu 57 36.9303 28.1768 0.03369
2005eu 64 36.9303 28.1768 0.03369
2008at 65 156.801 71.4157 0.03497
ASASSN-15tg 150 5.171 25.229 0.03445
2007hu 65 254.125 27.9779 0.03518
PTSS-16efw 150 263.908 8.809 0.03542
2016fbk 51 26.0272 34.3827 0.03495
AT2016fbk 150 26.0272 34.3827 0.03495
1994T 61 200.378 -2.149 0.03564
ASASSN-15mi 150 210.815 41.6041 0.03501
ASASSN-15ss 150 93.1391 -14.2575 0.03592
2001ck 57 219.459 30.4839 0.03544
PS15bbn 150 315.99 13.3684 0.03602
ASASSN-15lu 150 200.304 40.2657 0.03577
2008hj 5 1.008 -11.1687 0.03643
2008hj 65 1.008 -11.1687 0.03643
2000dg 57 1.5575 8.8882 0.03725
2002G 57 196.98 34.0851 0.03631
2002G 63 196.98 34.0851 0.03631
2006mo 64 11.6606 36.3327 0.03616
2008ei 57 334.388 33.2559 0.03654
2002hu 63 34.5836 37.4663 0.03591
2000cf 62 238.234 65.9369 0.03646
2001eh 57 24.5504 41.6552 0.03627
2001eh 63 24.5504 41.6552 0.03627
ASASSN-16db 150 167.357 29.5732 0.03589
AT2016hns 150 324.921 24.4065 0.03704
ASASSN-15bc 150 61.561 -8.8856 0.03639
2007jg 51 52.4617 0.0568 0.03652
2007jg 5 52.4617 0.0568 0.03652
AT2016cvw 150 341.553 10.5588 0.03761
2002eu 57 27.4317 32.6286 0.03672
2008gb 65 44.488 46.8657 0.03641
2007O 57 224.022 45.4047 0.03732
2007O 64 224.022 45.4047 0.03732
2008fr 65 17.9548 14.6408 0.0379
SN2017ciy 150 256.029 25.0529 0.03762
2008O 5 104.394 -45.8123 0.0394
2009bv 65 196.835 35.7844 0.03748
2008051 65 229.995 4.9046 0.03835
ASASSN-15np 150 226.511 7.5615 0.03832
2010dw 66 230.668 -5.9211 0.03871
ASASSN-15pn 150 60.8598 -5.492 0.038
1999aw 50 165.402 -6.1088 0.03928
2008dr 57 332.715 2.1082 0.03996
PS15cze 150 56.8476 0.8772 0.03891
2003fa 57 266.032 40.881 0.04015
2003fa 63 266.032 40.881 0.04015
SN2016glz 150 1.4732 8.4302 0.03975
PS16axi 150 162.03 0.1635 0.04056
SN2017coa 150 132.48 56.099 0.04045
2009do 65 188.743 50.8512 0.04027
2001az 63 248.615 76.0297 0.04059
2007jh 5 54.0064 1.1034 0.04023
1992bl 50 348.805 -44.7433 0.0428
2014bj 51 290.663 43.8908 0.04239
2006cf 64 163.511 46.0267 0.04223
2006cz 64 222.153 -4.7419 0.04251
2007kk 51 55.5969 39.2418 0.0413
2007kk 65 55.5969 39.2418 0.0413
AT2016htm 150 38.0109 -26.6659 0.04265
ASASSN-16ct 150 228.476 4.7573 0.04252
SN2016ayg 150 112.572 25.0321 0.04328
2007nq 5 14.3899 -1.3886 0.04275
2007nq 65 14.3899 -1.3886 0.04275
MASTERJ0134 150 23.5627 -17.8121 0.04391
ASASSN-15mg 150 233.094 41.8504 0.04307
AT2016cvv 150 290.12 54.2087 0.04404
2005ku 5 344.927 -0.0137 0.04397
1992bh 50 74.8628 -58.8304 0.0451
2006gt 5 14.0721 -1.6294 0.04366
2006hx 5 18.4888 0.3717 0.04429
PS16cqa 150 234.779 9.2946 0.04433
PSNJ1204051 150 181.021 14.0681 0.04502
2005hc 64 29.1998 -0.2137 0.04496
2005hc 5 29.1998 -0.2137 0.04496
SN2016esh 150 241.06 16.6902 0.04488
PS17tn 150 145.807 41.3173 0.04549
2008050 65 204.198 5.1418 0.04627
AT2016ews 150 225.652 23.3528 0.04612
2005lz 64 32.7073 34.9828 0.04541
360156 15 150.807 1.8953 0.04673
2004gu 5 191.603 11.9489 0.0467
2008cf 5 211.886 -26.5518 0.04692
2008cf 65 211.886 -26.5518 0.04692
AT2017yk 150 146.133 -12.3082 0.04764
2016afk 150 155.625 15.0966 0.04677
PS16fa 150 154.819 4.7617 0.04734
PS15aii 150 191.19 9.7597 0.04768
PS17akj 150 207.455 -3.08 0.0478
ATLAS16agv 150 250.29 50.9724 0.04777
ASASSN-15pm 150 24.6504 -4.6798 0.04777
1995ac 61 341.392 -8.7513 0.04867
AT2016gmg 150 320.924 33.1147 0.04839
1990af 50 323.747 -62.7371 0.05018
PS16el 150 162.802 19.3625 0.04896
2006cq 64 201.105 30.9563 0.04928
1993ag 50 150.894 -35.4626 0.05019
PS15asb 150 215.085 -9.3009 0.04952
1998dx 62 272.8 49.8613 0.0498
PS16dnp 150 344.915 2.1498 0.04998
2007kh 65 48.8004 43.1703 0.04944
ASASSN-17eb 150 234.642 13.3478 0.0497
PS15brr 150 358.356 -15.6545 0.05063
2008hu 5 122.312 -18.6536 0.05071
AT2016cor 150 236.13 16.3035 0.04995
PS16fbb 150 1.7631 -20.6968 0.05139
2003ic 63 10.4593 -9.3053 0.05196
ASASSN-16hc 150 209.768 33.139 0.05165
1993O 50 202.785 -33.2152 0.05148
2006ot 5 33.7702 -20.7662 0.05232
2006ot 64 33.7702 -20.7662 0.05232
AT2016htn 150 32.8711 -16.5102 0.05229
PS16evk 150 338.344 -1.357 0.0532
PS16n 150 75.9333 3.4125 0.05268
2010dt 66 250.811 32.6751 0.05291
2006lu 5 138.824 -25.6001 0.05449
PS16bby 150 215.075 -22.189 0.0543
PS16ayd 150 216.826 -1.6753 0.05485
SN2017cpu 150 211.969 9.642 0.05529
490007 15 184.268 46.6275 0.05513
AT2017oz 150 211.673 30.3188 0.05641
2006py 5 340.425 -0.1369 0.05658
PS16aer 150 163.742 14.2716 0.05668
2005hj 5 21.7017 -1.2381 0.05631
2008eq 51 255.03 23.1324 0.0568
2006ob 5 27.9506 0.2633 0.0576
2006ob 64 27.9506 0.2633 0.0576
SN2016gmb 150 8.6861 -6.1589 0.05708
2001ah 63 167.624 55.1608 0.05837
2001ah 57 167.624 55.1608 0.05837
LSQ13crf 56 47.7093 1.4219 0.05934
SN2017cjv 150 152.69 -3.7775 0.06079
2008bz 5 189.741 11.1295 0.0613
2008bz 65 189.741 11.1295 0.0613
SN2016hhv 150 353.952 20.7088 0.06067
2008go 51 332.687 -20.7881 0.06116
2008go 5 332.687 -20.7881 0.06116
2006oa 64 320.929 -0.8435 0.06142
1992bs 50 52.3749 -37.2718 0.0637
SN2016aqb 150 170.493 -13.9837 0.06419
PS16bnz 150 155.154 -2.4668 0.06398
2007ae 64 255.467 79.0318 0.06485
PS15cms 150 149.646 0.743 0.06603
6057 1 52.5536 -0.9746 0.06652
SN2016ixf 150 159.936 15.0347 0.06723
AT2016aj 150 70.6025 -21.7244 0.06731
PS15bjg 150 343.793 -0.4102 0.06758
CSS160129 150 115.123 10.9333 0.06841
2006al 64 159.868 5.1834 0.06908
PTSS17-niq 150 215.069 15.3417 0.0691
1993B 50 158.717 -34.4417 0.07076
2008Y 51 169.877 54.4628 0.07028
2008Y 65 169.877 54.4628 0.07028
PS17yt 150 150.992 49.0412 0.07046
PS16em 150 163.892 -3.3663 0.07113
2006on 64 328.994 -1.0702 0.07068
470043 15 128.994 44.7675 0.07061
ATLAS16bwu 150 18.5927 -13.1531 0.07074
PS15bdr 150 253.706 36.7252 0.07094
PS15bwh 150 352.644 -18.8915 0.07149
370566 15 159.985 58.4149 0.07134
PS15mt 150 148.684 23.1981 0.07193
2007jd 5 44.9724 1.1607 0.07196
PS15atx 150 195.827 -23.0658 0.07301
Gaia16aki 150 239.794 14.6416 0.07398
1992ae 50 322.075 -61.5504 0.07478
PS17bii 150 171.409 7.3336 0.07467
7876 1 19.1825 0.7946 0.0749
2005ir 5 19.1825 0.7946 0.0749
2010hs 51 36.4131 24.7649 0.07514
AT2016gsu 150 17.1024 21.1516 0.07529
370333 15 164.38 57.2977 0.07557
PS15bif 150 305.074 -23.7435 0.07855
Gaia16acv 150 179.957 54.8022 0.07833
17186 1 31.6128 -0.8995 0.07849
2007hx 5 31.6128 -0.8995 0.07849
560033 15 353.599 -0.6831 0.07869
12779 1 309.472 1.2211 0.07891
PS15bzz 150 9.4247 1.7628 0.07901
350316 15 131.469 43.8188 0.07966
2005ag 5 224.182 9.3285 0.08024
12950 1 351.667 -0.8403 0.08141
130308 15 213.238 52.7437 0.08221
12898 1 26.7931 -0.147 0.08255
12781 1 5.4066 -1.01 0.08282
SN2016glp 150 354.058 23.696 0.08366
3592 1 19.0524 0.7919 0.08544
SN2016grz 150 28.8874 33.8229 0.08656
1241 1 337.672 -0.7766 0.08848
590194 15 130.237 44.5243 0.09015
370066 15 130.349 43.0544 0.09066
300105 15 351.71 -0.7301 0.09181
iPTF17dz 150 126.107 24.9978 0.09284
010010 15 150.859 1.0294 0.09968
